,Unnamed: 0,in_amount_mmol,p_amount_mmol,sol_amount_ml,TOP_amount_mmol,acid_amount_mmol,amine_amount_mmol,thiol_amount_mmol,zinc_amount_mmol,other_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium palmitate,x0_indium trifluoroacetate,"x0_indium tris(N,N-diisopropylacetamidinato)",x1_bis(trimethylsilyl)phosphine,x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x1_white phosphorus,x2_4-ethylpyridine,x2_None,x2_dimethylformamide,x2_mesitylene,x2_octadecene,x2_toluene,x3_None,x3_trioctylphosphine,x4_None,x4_lauric acid,x4_myristic acid,x4_oleic acid,x4_palmitic acid,x4_stearic acid,x5_None,x5_dioctylamine,x5_dodecylamine,x5_hexadecylamine,x5_octylamine,x5_oleylamine,x6_None,x6_dodecanethiol,x7_None,x7_zinc acetate,x7_zinc bromide,x7_zinc chloride,x7_zinc iodide,x7_zinc octanoate,x7_zinc oleate,x7_zinc stearate,x7_zinc undecylenate,x8_None,x8_acetic acid,x8_copper bromide,x8_oleic acid,x8_superhydride,x8_tetrabutylammonium myristate,x8_trioctylamine,x8_trioctylphosphine oxide,x8_water,x8_zinc iodide,diameter_nm,abs_nm,emission_nm
31,31,-0.5934856037159201,-0.6666274255744931,-0.0870342456359399,-0.3039032891788096,-0.3357238282059297,-0.6426241729697622,-0.1966511848542709,-0.5473480301940296,-0.2629638287810377,-0.2404255650055621,1.5780972928426178,-0.2989881812951414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,460,518
32,32,-0.5934856037159201,-0.6666274255744931,-0.0870342456359399,-0.3039032891788096,-0.3281454899777867,-0.6426241729697622,-0.1966511848542709,-0.5473480301940296,-0.2629638287810377,-0.2404255650055621,1.5780972928426178,-0.2989881812951414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,457,522
33,33,-0.5934856037159201,-0.6666274255744931,-0.0870342456359399,-0.3039032891788096,-0.3205671517496437,-0.6426241729697622,-0.1966511848542709,-0.5473480301940296,-0.2629638287810377,-0.2404255650055621,1.5780972928426178,-0.2989881812951414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,456,525
34,34,-0.5934856037159201,-0.6666274255744931,-0.0870342456359399,-0.3039032891788096,-0.3433021664340727,-0.6426241729697622,-0.1966511848542709,-0.5473480301940296,-0.2629638287810377,-0.2404255650055621,1.5780972928426178,-0.2989881812951414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,470,530
35,35,-0.5108614411989117,-0.6666274255744931,0.1256361539734277,-0.3039032891788096,-0.2099234136187558,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.0350043496939044,1.5780972928426178,-0.2902705853308758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,525,558
36,36,-0.5521735224574159,-0.6666274255744931,0.1256361539734277,0.0729651777730176,-0.2667609503298284,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,0.0282021780942979,1.6777074966715546,-0.3059622580665538,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,472,None
37,37,-0.5521735224574159,-0.6666274255744931,0.1256361539734277,0.0729651777730176,-0.2667609503298284,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,0.0282021780942979,1.6777074966715546,-0.2946293833130086,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,486,None
38,38,-0.5521735224574159,-0.6666274255744931,0.1256361539734277,0.0729651777730176,-0.2667609503298284,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,0.0282021780942979,1.6777074966715546,-0.1507890499026261,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,499,None
39,39,2.628856734447405,0.7220551282740355,0.5836954762089888,-0.3039032891788096,5.057021654940634,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,0.407441344823512,1.2792666813558078,-0.2902705853308758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,530,579
40,40,2.628856734447405,0.7220551282740355,0.1347973404181389,-0.3039032891788096,5.057021654940634,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,0.2810282892471073,1.6777074966715546,-0.2902705853308758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,555,595
41,41,-0.1803647911308784,-0.4473617591773569,0.1256361539734277,0.0729651777730176,0.2447768800698245,-0.6426241729697622,-0.1966511848542709,0.3290461957352753,1.5278643898342843,0.0282021780942979,0.3827748468953777,-0.2554002014738133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,430,477
42,42,-0.3951876136751001,-0.5716123034690674,0.0601991079397761,-0.3039032891788096,-0.0583566490558957,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.0982108774821067,1.7773177005004912,-0.2989881812951414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,535.4,None
43,43,0.3153801839711716,-0.296068449363333,0.2565102460407309,-0.3039032891788096,0.9268273206026952,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,0.0914087058825002,0.1835544392375043,-0.2946293833130086,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,498,542
44,44,0.3153801839711716,-0.296068449363333,0.2565102460407309,-0.3039032891788096,0.9268273206026952,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,0.0914087058825002,0.1835544392375043,-0.3033469792772741,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,502,548
45,45,0.3153801839711716,-0.296068449363333,0.2565102460407309,-0.3039032891788096,0.9268273206026952,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,0.0914087058825002,0.1835544392375043,-0.3033469792772741,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,512,554
46,46,0.3153801839711716,-0.296068449363333,0.2565102460407309,-0.3039032891788096,0.9268273206026952,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,0.0914087058825002,0.1835544392375043,-0.2946293833130086,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,512,558
47,47,-0.5108614411989117,-0.6666274255744931,0.1256361539734277,-0.1154690557028959,-0.2099234136187558,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.0034010857998032,1.1796564775268712,-0.2902705853308758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,580,None
48,48,-0.5108614411989117,-0.6666274255744931,0.1256361539734277,-0.1154690557028959,-0.2099234136187558,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.0034010857998032,1.1796564775268712,-0.2902705853308758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,584,615
49,49,-0.5934856037159201,-0.6666274255744931,0.1256361539734277,-0.3039032891788096,-0.3235984870409009,-0.6426241729697622,-0.1966511848542709,-0.5234463694868666,-0.2629638287810377,-0.0350043496939044,1.5780972928426178,-0.2989881812951414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,460,480
50,50,-0.345613116164895,-0.593538870108781,-0.031412756507336,-0.3039032891788096,0.1121559610773219,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.1867000163855901,1.2792666813558078,-0.3007317004879944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,537,None
51,51,-0.345613116164895,-0.593538870108781,-0.031412756507336,-0.3039032891788096,0.1121559610773219,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.1867000163855901,1.2792666813558078,-0.3007317004879944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,537,None
52,52,-0.345613116164895,-0.593538870108781,-0.031412756507336,-0.3039032891788096,-0.437273560463046,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.0838810069195054,-0.1867000163855901,1.2792666813558078,-0.3007317004879944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,None,545,None
53,53,-0.5934856037159201,-0.5204503146430689,0.0353330304469885,-0.3039032891788096,-0.3235984870409009,-0.6426241729697622,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.1222293580416237,1.3788768851847446,-0.2815529893666101,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,631,None
54,54,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.4803866573720112,-0.1396710878144647,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2186193129186323,-0.8523916805834372,-0.3075314253401217,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,498,None
55,55,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.309874047238794,-0.1396710878144647,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2186193129186323,-0.8523916805834372,-0.3075314253401217,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,476,None
56,56,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.6698451130755867,-0.1382739959112556,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2184928998630558,-0.8523916805834372,-0.3075314253401217,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,491,None
57,57,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.4803866573720112,-0.1396710878144647,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2186193129186323,-0.8523916805834372,-0.3068340176629804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,530,None
58,58,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.309874047238794,-0.1396710878144647,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2186193129186323,-0.8523916805834372,-0.3068340176629804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,497,None
59,59,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.6698451130755867,-0.1382739959112556,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2184928998630558,-0.8523916805834372,-0.3068340176629804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,522,None
60,60,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.309874047238794,-0.1396710878144647,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2186193129186323,-0.8523916805834372,-0.2989881812951414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,509,None
61,61,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.6698451130755867,-0.1382739959112556,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2184928998630558,-0.8523916805834372,-0.2989881812951414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,613,None
62,62,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.4803866573720112,-0.1396710878144647,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2186193129186323,-0.8523916805834372,-0.2902705853308758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,590,None
63,63,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.4803866573720112,-0.1396710878144647,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2186193129186323,-0.8523916805834372,-0.2815529893666101,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,605,None
64,64,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.309874047238794,-0.1396710878144647,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2186193129186323,-0.8523916805834372,-0.2815529893666101,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,518,None
65,65,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.4803866573720112,-0.1396710878144647,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2186193129186323,-0.8523916805834372,-0.2554002014738133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,625,None
66,66,0.9763734841072385,-0.5204503146430689,-0.1033935071443528,-0.3039032891788096,2.309874047238794,-0.1396710878144647,-0.1966511848542709,-0.6270202325512391,-0.2629638287810377,-0.2186193129186323,-0.8523916805834372,-0.2554002014738133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,520,None
