,Unnamed: 0,Unnamed: 0.1,in_amount_mmol,p_amount_mmol,sol_amount_ml,TOP_amount_mmol,acid_amount_mmol,amine_amount_mmol,thiol_amount_mmol,zinc_amount_mmol,other_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium palmitate,x0_indium trifluoroacetate,"x0_indium tris(N,N-diisopropylacetamidinato)",x1_bis(trimethylsilyl)phosphine,x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x1_white phosphorus,x2_4-ethylpyridine,x2_None,x2_dimethylformamide,x2_mesitylene,x2_octadecene,x2_toluene,x3_None,x3_trioctylphosphine,x4_None,x4_lauric acid,x4_myristic acid,x4_oleic acid,x4_palmitic acid,x4_stearic acid,x5_None,x5_dioctylamine,x5_dodecylamine,x5_hexadecylamine,x5_octylamine,x5_oleylamine,x6_None,x6_dodecanethiol,x7_None,x7_zinc acetate,x7_zinc bromide,x7_zinc chloride,x7_zinc iodide,x7_zinc octanoate,x7_zinc oleate,x7_zinc stearate,x7_zinc undecylenate,x8_None,x8_acetic acid,x8_copper bromide,x8_oleic acid,x8_superhydride,x8_tetrabutylammonium myristate,x8_trioctylamine,x8_trioctylphosphine oxide,x8_water,x8_zinc iodide,diameter_nm,abs_nm,emission_nm,
10,10,10,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,0.577746873,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,538,594.5,56.5
11,11,11,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,0.975942201,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,576,622.1666667,46.16666667
12,12,12,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,1.374137528,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,578,622.1666667,44.16666667
13,13,13,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-0.815936773,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.7,580,588,8
14,14,14,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-0.815936773,-0.307474232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,492,553.5,61.5
15,15,15,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-1.413229764,-0.307474232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,397,535.3333333,138.3333333
16,16,16,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-1.413229764,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,462,559.8333333,97.83333333
17,17,17,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-1.413229764,-0.28224616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,500,553.5,53.5
19,19,19,-0.341121815,-0.59492749,-0.103631826,-0.30466059,0.22083874,-0.429942678,-0.197117053,-0.629015021,-0.263605139,-0.240774661,-1.413229764,-0.203952142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,574,601.3333333,27.33333333
20,20,20,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,-0.815936773,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,442,500,58
21,21,21,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,-0.815936773,-0.203952142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,442,520,78
22,22,22,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,-0.815936773,-0.099560119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,442,538,96
23,23,23,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,-0.417741445,-0.243099151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,442,540,98
24,24,24,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,1.175039865,-0.28224616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,442,590,148
25,25,25,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,1.175039865,-0.203952142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,442,600,158
26,26,26,0.154575243,-0.011188334,-0.462725449,-0.30466059,-0.431076632,-0.641826903,5.132344018,0.962232404,-0.263605139,-0.595982622,0.179551546,-0.28224616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,442,560,118
27,27,27,1.80689877,0.353648639,2.410023535,0.82361026,3.020240045,-0.641826903,-0.197117053,-0.629015021,-0.263605139,2.360720014,0.776844537,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.4,564.3333333,605.8333333,41.5
30,30,30,-0.588970344,-0.667894884,-0.087309388,-0.30466059,-0.082110168,-0.641826903,-0.197117053,-0.549452649,-0.263605139,-0.2409008,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,455,507,52
31,31,31,-0.588970344,-0.667894884,-0.087309388,-0.30466059,-0.328304091,-0.641826903,-0.197117053,-0.549452649,-0.263605139,-0.2409008,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,460,518,58
32,32,32,-0.588970344,-0.667894884,-0.087309388,-0.30466059,-0.320634499,-0.641826903,-0.197117053,-0.549452649,-0.263605139,-0.2409008,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,457,522,65
33,33,33,-0.588970344,-0.667894884,-0.087309388,-0.30466059,-0.312964906,-0.641826903,-0.197117053,-0.549452649,-0.263605139,-0.2409008,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,456,525,69
34,34,34,-0.588970344,-0.667894884,-0.087309388,-0.30466059,-0.335973684,-0.641826903,-0.197117053,-0.549452649,-0.263605139,-0.2409008,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,470,530,60
35,35,35,-0.506354167,-0.667894884,0.124882298,-0.30466059,-0.200988854,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.035924614,1.573235192,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,525,558,33
36,36,36,-0.547662256,-0.667894884,0.124882298,0.071429693,-0.258510798,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.027144981,1.672784024,-0.306604298,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.8,472,559.1666667,87.16666667
37,37,37,-0.547662256,-0.667894884,0.124882298,0.071429693,-0.258510798,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.027144981,1.672784024,-0.295295163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,486,559,73
38,38,38,-0.547662256,-0.667894884,0.124882298,0.071429693,-0.258510798,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.027144981,1.672784024,-0.15175613,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,499,564.6666667,65.66666667
39,39,39,2.633060533,0.718485611,0.581910545,-0.30466059,5.129378015,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.405562554,1.274588696,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.4,530,579,49
40,40,40,2.633060533,0.718485611,0.134022863,-0.30466059,5.129378015,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.279423363,1.672784024,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.1,555,595,40
41,41,41,-0.175889462,-0.448992701,0.124882298,0.071429693,0.259186703,-0.641826903,-0.197117053,0.325733434,1.523430533,0.027144981,0.37864921,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,430,477,47
42,42,42,-0.390691521,-0.573037271,0.059592548,-0.30466059,-0.047597001,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.09899421,1.772332856,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.2,553,588.8333333,35.83333333
43,43,43,0.319807596,-0.297950194,0.255461797,-0.30466059,0.949450039,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.090214577,0.179551546,-0.295295163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,498,542,44
44,44,44,0.319807596,-0.297950194,0.255461797,-0.30466059,0.949450039,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.090214577,0.179551546,-0.303994498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,502,548,46
45,45,45,0.319807596,-0.297950194,0.255461797,-0.30466059,0.949450039,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.090214577,0.179551546,-0.303994498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,512,554,42
46,46,46,0.319807596,-0.297950194,0.255461797,-0.30466059,0.949450039,-0.641826903,-0.197117053,-0.629015021,-0.263605139,0.090214577,0.179551546,-0.295295163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,512,558,46
47,47,47,-0.506354167,-0.667894884,0.124882298,-0.116615448,-0.200988854,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.004389817,1.175039865,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5,580,605.3333333,25.33333333
48,48,48,-0.506354167,-0.667894884,0.124882298,-0.116615448,-0.200988854,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.004389817,1.175039865,-0.290945495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.26,584,615,31
49,49,49,-0.588970344,-0.667894884,0.124882298,-0.30466059,-0.316032743,-0.641826903,-0.197117053,-0.525583938,-0.263605139,-0.035924614,1.573235192,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,460,480,20
50,50,50,-0.341121815,-0.59492749,-0.031813101,-0.30466059,0.124968832,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.187291644,1.274588696,-0.301384697,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,537,576.1666667,39.16666667
51,51,51,-0.341121815,-0.59492749,-0.031813101,-0.30466059,0.124968832,-0.641826903,-0.197117053,-0.629015021,-0.263605139,-0.187291644,1.274588696,-0.301384697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,537,582.6666667,45.66666667
52,52,52,-0.341121815,-0.59492749,-0.031813101,-0.30466059,-0.431076632,-0.641826903,-0.197117053,-0.629015021,-0.084901572,-0.187291644,1.274588696,-0.301384697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,None,545,596.6666667,51.66666667
54,54,54,0.980737006,-0.521960095,-0.103631826,-0.30466059,2.521716525,-0.139995844,-0.197117053,-0.629015021,-0.263605139,-0.219141789,-0.855756305,-0.308170179,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,498,553.5,55.5
55,55,55,0.980737006,-0.521960095,-0.103631826,-0.30466059,2.349150691,-0.139995844,-0.197117053,-0.629015021,-0.263605139,-0.219141789,-0.855756305,-0.308170179,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,476,555.1666667,79.16666667
56,56,56,0.980737006,-0.521960095,-0.103631826,-0.30466059,2.713456341,-0.138601869,-0.197117053,-0.629015021,-0.263605139,-0.21901565,-0.855756305,-0.308170179,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,491,553.5,62.5
57,57,57,0.980737006,-0.521960095,-0.103631826,-0.30466059,2.521716525,-0.139995844,-0.197117053,-0.629015021,-0.263605139,-0.219141789,-0.855756305,-0.307474232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,530,570.5,40.5
58,58,58,0.980737006,-0.521960095,-0.103631826,-0.30466059,2.349150691,-0.139995844,-0.197117053,-0.629015021,-0.263605139,-0.219141789,-0.855756305,-0.307474232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,497,553.5,56.5
59,59,59,0.980737006,-0.521960095,-0.103631826,-0.30466059,2.713456341,-0.138601869,-0.197117053,-0.629015021,-0.263605139,-0.21901565,-0.855756305,-0.307474232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,522,561.3333333,39.33333333
60,60,60,0.980737006,-0.521960095,-0.103631826,-0.30466059,2.349150691,-0.139995844,-0.197117053,-0.629015021,-0.263605139,-0.219141789,-0.855756305,-0.29964483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,509,561.3333333,52.33333333
